Wahlkreisnummer,Wahlkreisname,Wahlberechtigte,Wahlberechtigte_ohne_Wahlschein,Wahlberechtigte_mit_Wahlschein,Wahlberechtigte_nach_§25_Abs.2_BWO,Wähler(innen),Wähler(innen)_mit_Wahlschein,Ungültige_Erststimmen,Gültige_Erststimmen,CDU_Erststimmen,SPD_Erststimmen,GRÜNE_Erststimmen,FDP_Erststimmen,AfD_Erststimmen,Die_Linke_Erststimmen,dieBasis_Erststimmen,FREIE_WÄHLER_Erststimmen,Tierschutzpartei_Erststimmen,Die_PARTEI_Erststimmen,Volt_Erststimmen,ÖDP_Erststimmen,Bündnis_C_Erststimmen,MLPD_Erststimmen,BÜNDNIS_DEUTSCHLAND_Erststimmen,BSW_Erststimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen,Initiative_Gegenwind_Erststimmen,Parteilos_Erststimmen,Volkmar_Raidt_Erststimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen,Ungültige_Zweitstimmen,Gültige_Zweitstimmen,CDU_Zweitstimmen,SPD_Zweitstimmen,GRÜNE_Zweitstimmen,FDP_Zweitstimmen,AfD_Zweitstimmen,Die_Linke_Zweitstimmen,dieBasis_Zweitstimmen,FREIE_WÄHLER_Zweitstimmen,Tierschutzpartei_Zweitstimmen,Die_PARTEI_Zweitstimmen,Volt_Zweitstimmen,ÖDP_Zweitstimmen,Bündnis_C_Zweitstimmen,MLPD_Zweitstimmen,BÜNDNIS_DEUTSCHLAND_Zweitstimmen,BSW_Zweitstimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen,Parteilos_Zweitstimmen,Volkmar_Raidt_Zweitstimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen,MLPD_Zweitstimmen_rel,ÖDP_Zweitstimmen_rel,Parteilos_Zweitstimmen_rel,FDP_Erststimmen_rel,AfD_Erststimmen_rel,Initiative_Gegenwind_Erststimmen_rel,GRÜNE_Zweitstimmen_rel,Volt_Erststimmen_rel,SPD_Erststimmen_rel,FREIE_WÄHLER_Erststimmen_rel,Tierschutzpartei_Erststimmen_rel,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen_rel,BSW_Zweitstimmen_rel,BÜNDNIS_DEUTSCHLAND_Erststimmen_rel,Die_Linke_Erststimmen_rel,Initiative_Gegenwind_Zweitstimmen_rel,FDP_Zweitstimmen_rel,FREIE_WÄHLER_Zweitstimmen_rel,Bündnis_C_Zweitstimmen_rel,CDU_Erststimmen_rel,dieBasis_Erststimmen_rel,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen_rel,dieBasis_Zweitstimmen_rel,CDU_Zweitstimmen_rel,Die_PARTEI_Erststimmen_rel,ÖDP_Erststimmen_rel,AfD_Zweitstimmen_rel,Die_Linke_Zweitstimmen_rel,Gültige_Erststimmen_rel,BSW_Erststimmen_rel,SPD_Zweitstimmen_rel,BÜNDNIS_DEUTSCHLAND_Zweitstimmen_rel,GRÜNE_Erststimmen_rel,MLPD_Erststimmen_rel,Volkmar_Raidt_Erststimmen_rel,Parteilos_Erststimmen_rel,Tierschutzpartei_Zweitstimmen_rel,Ungültige_Erststimmen_rel,Die_PARTEI_Zweitstimmen_rel,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen_rel,Volt_Zweitstimmen_rel,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen_rel,Bündnis_C_Erststimmen_rel,Gültige_Zweitstimmen_rel,Ungültige_Zweitstimmen_rel,Volkmar_Raidt_Zweitstimmen_rel
268,Schwäbisch_Hall-Hohenlohe,224446.0,,,,186104.0,,1415.0,184689.0,67217.0,27498.0,18528.0,8307.0,44361.0,8902.0,2067.0,4614.0,,1718.0,1477.0,,,,,,,,,,,1092.0,185012.0,58817.0,24445.0,18083.0,10582.0,46423.0,9845.0,1115.0,2862.0,1524.0,896.0,1105.0,460.0,529.0,69.0,266.0,7991.0,,,,,,0.00037294878170064644,0.002486325211337643,,0.044978314896934844,0.24019297305199552,,0.09773960607960565,0.007997227772092545,0.14888813085782043,0.024982538212887612,,,0.043191792964780665,,0.04819994693782521,,0.0571962899703803,0.015469266858365943,0.0028592739930382895,0.3639469594832394,0.011191787274824163,,0.006026636110090156,0.3179091085983612,0.009302124111343934,,0.25091885931723346,0.05321276457743281,1.0,,0.1321265647633667,0.0014377445787300282,0.10031999740103634,,,,0.008237303526257756,0.007661528298924137,0.004842929107301148,,0.005972585562017599,,,1.0,0.005902319849523274,
269,Backnang-Schwäbisch_Gmünd,175503.0,,,,146412.0,,1272.0,145140.0,53070.0,23853.0,15498.0,5844.0,33945.0,7486.0,,3174.0,,2040.0,,,,230.0,,,,,,,,727.0,145685.0,47465.0,20169.0,15531.0,7846.0,33898.0,8422.0,566.0,1732.0,1243.0,809.0,795.0,287.0,348.0,62.0,222.0,6290.0,,,,,,0.00042557572845522873,0.0019700037752685587,,0.040264572137246796,0.23387763538652337,,0.1066067199780348,,0.16434477056634972,0.0218685407193055,,,0.04317534406424821,,0.05157778696431032,,0.053855922023543945,0.01188866389813639,0.002388715379071284,0.3656469615543613,,,0.0038850945533170883,0.3258056766310876,0.014055394791236048,,0.23268009747057006,0.057809657823386075,1.0,,0.1384425301163469,0.001523835672855819,0.10677966101694915,0.0015846768637177897,,,0.008532106943062086,0.008763952046300124,0.005553076843875485,,0.005456979098740433,,,1.0,0.0049902186223701826,
270,Aalen-Heidenheim,217828.0,,,,180562.0,,1738.0,178824.0,74007.0,25137.0,14872.0,6425.0,41336.0,8987.0,,4984.0,,,1878.0,,,,1198.0,,,,,,,1009.0,179553.0,62269.0,25288.0,16827.0,8745.0,41365.0,9696.0,581.0,2930.0,1362.0,701.0,918.0,334.0,219.0,68.0,339.0,7911.0,,,,,,0.00037871826146040444,0.0018601749901143395,,0.035929181765311145,0.23115465485617143,,0.09371606155285626,0.010501946047510402,0.14056838008321032,0.027870979286896615,,,0.0440594142119597,0.006699324475461906,0.050256117747058564,,0.0487042823010476,0.016318301559985073,0.0012196955773504203,0.41385384512146023,,,0.0032358133810072793,0.3468001091599695,,,0.2303776600780828,0.054000768575295316,1.0,,0.1408386381736869,0.001888021921104075,0.08316557061691943,,,,0.007585504001603983,0.009719053370912181,0.003904139724760934,,0.00511269652971546,,,1.0,0.005619510673728649,
271,Karlsruhe-Stadt,202812.0,,,,168556.0,,1126.0,167430.0,39599.0,25553.0,51305.0,6399.0,22985.0,13354.0,,2015.0,,1945.0,4020.0,,,255.0,,,,,,,,712.0,167844.0,37646.0,26164.0,40424.0,8657.0,22677.0,18801.0,352.0,993.0,1393.0,1020.0,2745.0,223.0,269.0,95.0,139.0,6246.0,,,,,,0.0005660017635423369,0.0013286146659993803,,0.03821895717613331,0.13728125186645165,,0.24084268725721503,0.024010034044078123,0.15261900495729558,0.012034880248462044,,,0.037213126474583545,,0.0797587051305023,,0.05157765544195801,0.005916207907342532,0.0016026786778198803,0.2365107806247387,,,0.0020971854817568693,0.22429160410857701,0.011616795078540286,,0.13510759991420604,0.1120147279616787,1.0,,0.15588284359286003,0.0008281499487619457,0.3064265663262259,0.0015230245475721196,,,0.008299373227520793,0.006725198590455713,0.0060770715664545645,,0.016354472009723314,,,1.0,0.004242034269917304,
272,Karlsruhe-Land,207276.0,,,,176250.0,,1476.0,174774.0,68439.0,26152.0,22739.0,7333.0,32290.0,8836.0,,4592.0,,2083.0,2310.0,,,,,,,,,,,848.0,175402.0,58135.0,26361.0,23378.0,9721.0,33393.0,9790.0,458.0,2329.0,1774.0,889.0,1524.0,255.0,408.0,50.0,193.0,6744.0,,,,,,0.0002850594634040661,0.0014538032633607371,,0.04195704166523625,0.1847528808632863,,0.13328240270920513,0.013217068900408527,0.1496332406422008,0.02627393090505453,,,0.03844882042394043,,0.050556718962774784,,0.05542126087501853,0.013278069805361399,0.0023260852213771795,0.3915857049675581,,,0.0026111446847812453,0.33143863809990765,0.011918248709762321,,0.19037981322903957,0.05581464293451614,1.0,,0.15028905029589174,0.0011003295287396952,0.1301051643837184,,,,0.010113909761576265,0.008445192076624669,0.0050683572593242954,,0.008688612444555934,,,1.0,0.004834608499332961,
273,Rastatt,200964.0,,,,163983.0,,1529.0,162454.0,63111.0,24570.0,18275.0,5727.0,36075.0,7609.0,1677.0,5410.0,,,,,,,,,,,,,,1050.0,162933.0,54349.0,23552.0,17673.0,8032.0,36771.0,8737.0,713.0,2611.0,1614.0,661.0,1021.0,205.0,143.0,38.0,194.0,6619.0,,,,,,0.00023322469972319912,0.0012581858800856795,,0.03525305624976917,0.22206286087138513,,0.10846789784758153,,0.15124281335024067,0.03330173464488409,,,0.040624060196522496,,0.04683787410590075,,0.04929633653096672,0.01602499186782297,0.0008776613700109861,0.3884853558545804,0.010322922181048173,,0.004376031865858973,0.3335665580330565,,,0.225681721934783,0.05362326846004186,1.0,,0.1445502138915996,0.0011906734670079112,0.11249338274219163,,,,0.009905912246137983,0.009411895059524542,0.004056882276764069,,0.006266379432036481,,,1.0,0.0064443667028778705,
274,Heidelberg,218284.0,,,,186540.0,,1156.0,185384.0,54060.0,29464.0,51423.0,6767.0,22182.0,13225.0,,2566.0,,2271.0,3251.0,,,175.0,,,,,,,,799.0,185741.0,48787.0,31556.0,40599.0,10535.0,22414.0,18830.0,318.0,1377.0,1323.0,913.0,2100.0,221.0,171.0,52.0,157.0,6388.0,,,,,,0.0002799597288697703,0.0011898288476965236,,0.036502610797048286,0.11965433910154058,,0.21857855831507314,0.017536572735511156,0.15893496741897897,0.013841539722953437,,,0.03439197592346332,,0.07133841108186251,,0.0567187643008275,0.007413548974109109,0.0009206368007063599,0.2916109265092996,,,0.0017120614188574413,0.26266144793018237,0.012250248133603764,,0.1206734108247506,0.10137772489649566,1.0,,0.16989248469643212,0.0008452630275491141,0.2773863979631468,0.0009439865360548915,,,0.007122821563359732,0.0062357053467397405,0.0049154467780403895,,0.011306065973586877,,,1.0,0.004301688910902816,
275,Mannheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Odenwald-Tauber,206482.0,,,,171412.0,,1520.0,169892.0,72796.0,24015.0,13335.0,5336.0,39072.0,7689.0,1892.0,5757.0,,,,,,,,,,,,,,1079.0,170333.0,61951.0,22572.0,14283.0,8157.0,40149.0,8330.0,698.0,3245.0,1475.0,698.0,778.0,437.0,235.0,31.0,196.0,7098.0,,,,,,0.0001819964422630964,0.0025655627506120365,,0.03140818873166482,0.22998139994820238,,0.08385339305947762,,0.14135450756951476,0.03388623360723283,,,0.041671314425272846,,0.04525816401007699,,0.04788854772709927,0.019050917907862834,0.0013796504494137953,0.42848397805664773,0.011136486709203494,,0.004097855377407784,0.3637052127303576,,,0.23570887614261476,0.04890420529198687,1.0,,0.1325168933794391,0.0011506871833408675,0.07849104136745698,,,,0.008659508139937652,0.008946860358345302,0.004097855377407784,,0.004567523615506097,,,1.0,0.006334650361351001,
277,Rhein-Neckar,195506.0,,,,163944.0,,1465.0,162479.0,55932.0,33082.0,17909.0,7029.0,33084.0,8276.0,,4754.0,,,2413.0,,,,,,,,,,,928.0,163016.0,50684.0,25577.0,20053.0,9194.0,33689.0,10194.0,422.0,2214.0,1538.0,740.0,1437.0,222.0,288.0,35.0,180.0,6549.0,,,,,,0.00021470285125386464,0.00136182951366737,,0.04326097526449572,0.20362016014377243,,0.12301246503410708,0.014851149994768555,0.2036078508607266,0.029259165799887986,,,0.04017397065318742,,0.05093581324355763,,0.056399371840800905,0.01358148893360161,0.001766697747460372,0.3442414096590944,,,0.0025887029494037397,0.3109142660843107,,,0.20666069588261274,0.06253373901948275,1.0,,0.1568987093291456,0.0011041860921627326,0.11022347503369666,,,,0.009434656720812682,0.00901654983105509,0.004539431712224567,,0.008815085635765814,,,1.0,0.005692692741816754,
278,Bruchsal-Schwetzingen,194214.0,,,,162110.0,,1641.0,160469.0,57953.0,26193.0,17222.0,6690.0,35699.0,8289.0,,5664.0,,,2759.0,,,,,,,,,,,973.0,161137.0,51746.0,23130.0,17612.0,8450.0,36132.0,9271.0,497.0,2544.0,2048.0,797.0,1258.0,218.0,182.0,35.0,208.0,7009.0,,,,,,0.0002172064764765386,0.0013528860534824405,,0.041690295321837864,0.2224666446478759,,0.10929829896299423,0.01719335198698814,0.16322778854482797,0.035296537025843,,,0.04349714838925883,,0.05165483675974799,,0.05243984932076432,0.015787807890180406,0.0011294736776780007,0.36114763599199845,,,0.0030843319659668482,0.32113046662157047,,,0.22423155451572266,0.057534892668971126,1.0,,0.14354245145435252,0.0012908270602034293,0.10732290972088067,,,,0.012709681823541458,0.010226274233652606,0.004946101764337179,,0.007807021354499588,,,1.0,0.006038340046047773,
279,Pforzheim,212982.0,,,,174317.0,,2290.0,172027.0,63758.0,36222.0,,9382.0,46265.0,11022.0,,,,,5378.0,,,,,,,,,,,979.0,173338.0,52835.0,22823.0,18236.0,10769.0,43959.0,9320.0,526.0,1988.0,2042.0,705.0,1343.0,263.0,589.0,51.0,229.0,7660.0,,,,,,0.00029422284784640416,0.0015172668428157703,,0.054537950438012635,0.268940340760462,,0.10520485986915737,0.03126253436960477,0.2105599702372302,,,,0.04419111793144031,,0.06407133763885901,,0.06212717349917502,0.011468921990561792,0.0033979854388535694,0.37062786655583135,,,0.0030345336856315405,0.3048091012934267,,,0.25360278761725646,0.05376778317506836,1.0,,0.13166760894898982,0.0013211182775848343,,,,,0.011780452064752103,0.013311863835328175,0.00406719819081794,,0.007747868326621976,,,1.0,0.005647924863561366,
